,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,6.4,3.2,5.3,2.3,2
1,4.9,2.4,3.3,1.0,1
2,5.9,3.0,5.1,1.8,2
3,5.7,2.6,3.5,1.0,1
4,6.3,2.9,5.6,1.8,2
5,7.2,3.6,6.1,2.5,2
6,6.4,3.2,4.5,1.5,1
7,6.5,2.8,4.6,1.5,1
8,5.7,2.9,4.2,1.3,1
9,6.2,2.8,4.8,1.8,2
10,4.4,3.0,1.3,0.2,0
11,5.8,2.7,5.1,1.9,2
12,6.3,2.5,4.9,1.5,1
13,6.9,3.1,5.1,2.3,2
14,5.5,2.6,4.4,1.2,1
15,5.7,3.8,1.7,0.3,0
16,6.9,3.1,4.9,1.5,1
17,7.7,3.0,6.1,2.3,2
18,6.1,2.8,4.7,1.2,1
19,6.1,2.9,4.7,1.4,1
20,6.6,2.9,4.6,1.3,1
21,6.5,3.0,5.5,1.8,2
22,4.6,3.2,1.4,0.2,0
23,6.3,3.4,5.6,2.4,2
24,4.3,3.0,1.1,0.1,0
25,5.0,3.5,1.3,0.3,0
26,5.0,3.5,1.6,0.6,0
27,6.4,2.9,4.3,1.3,1
28,7.3,2.9,6.3,1.8,2
29,5.6,2.5,3.9,1.1,1
30,5.1,3.8,1.5,0.3,0
31,5.2,3.5,1.5,0.2,0
32,6.5,3.0,5.2,2.0,2
33,4.8,3.0,1.4,0.1,0
34,6.0,2.7,5.1,1.6,1
35,6.6,3.0,4.4,1.4,1
36,6.3,3.3,4.7,1.6,1
37,6.7,3.0,5.0,1.7,1
38,5.0,3.4,1.6,0.4,0
39,6.0,2.9,4.5,1.5,1
40,5.4,3.4,1.5,0.4,0
41,5.4,3.9,1.3,0.4,0
42,7.1,3.0,5.9,2.1,2
43,5.4,3.9,1.7,0.4,0
44,5.8,2.7,3.9,1.2,1
45,6.7,3.0,5.2,2.3,2
46,5.9,3.0,4.2,1.5,1
47,6.4,2.8,5.6,2.1,2
48,5.1,3.4,1.5,0.2,0
49,7.2,3.2,6.0,1.8,2
50,6.3,2.3,4.4,1.3,1
51,6.4,3.1,5.5,1.8,2
52,5.5,2.3,4.0,1.3,1
53,5.8,4.0,1.2,0.2,0
54,5.4,3.4,1.7,0.2,0
55,6.1,2.8,4.0,1.3,1
56,7.7,3.8,6.7,2.2,2
57,6.3,2.7,4.9,1.8,2
58,7.4,2.8,6.1,1.9,2
59,6.0,3.4,4.5,1.6,1
60,4.7,3.2,1.6,0.2,0
61,5.0,2.3,3.3,1.0,1
62,7.2,3.0,5.8,1.6,2
63,5.7,2.5,5.0,2.0,2
64,6.7,2.5,5.8,1.8,2
65,5.7,2.8,4.5,1.3,1
66,6.4,2.8,5.6,2.2,2
67,6.7,3.1,4.4,1.4,1
68,5.5,2.4,3.7,1.0,1
69,5.1,3.7,1.5,0.4,0
70,5.6,3.0,4.5,1.5,1
71,4.8,3.4,1.6,0.2,0
72,5.5,3.5,1.3,0.2,0
73,4.9,2.5,4.5,1.7,2
74,5.0,3.6,1.4,0.2,0
75,5.1,3.5,1.4,0.3,0
76,5.1,3.5,1.4,0.2,0
77,7.6,3.0,6.6,2.1,2
78,5.1,3.8,1.6,0.2,0
79,6.9,3.1,5.4,2.1,2
80,7.9,3.8,6.4,2.0,2
81,4.9,3.1,1.5,0.1,0
82,5.2,2.7,3.9,1.4,1
83,5.5,2.4,3.8,1.1,1
84,5.0,3.4,1.5,0.2,0
85,6.4,2.7,5.3,1.9,2
86,6.0,2.2,4.0,1.0,1
87,5.2,4.1,1.5,0.1,0
88,4.4,3.2,1.3,0.2,0
89,6.3,2.5,5.0,1.9,2
90,6.2,3.4,5.4,2.3,2
91,4.6,3.6,1.0,0.2,0
92,5.9,3.2,4.8,1.8,1
93,6.9,3.2,5.7,2.3,2
94,4.9,3.0,1.4,0.2,0
95,6.8,2.8,4.8,1.4,1
96,5.0,3.0,1.6,0.2,0
97,5.1,3.8,1.9,0.4,0
98,4.8,3.0,1.4,0.3,0
99,5.2,3.4,1.4,0.2,0
100,5.8,2.8,5.1,2.4,2
101,5.8,2.7,4.1,1.0,1
102,5.6,2.8,4.9,2.0,2
103,6.7,3.3,5.7,2.5,2
104,7.7,2.6,6.9,2.3,2
105,5.6,2.9,3.6,1.3,1
106,5.3,3.7,1.5,0.2,0
107,6.5,3.2,5.1,2.0,2
108,6.1,3.0,4.6,1.4,1
109,5.0,3.3,1.4,0.2,0
110,5.5,4.2,1.4,0.2,0
111,5.8,2.6,4.0,1.2,1
112,6.1,3.0,4.9,1.8,2
113,6.7,3.1,4.7,1.5,1
114,6.7,3.3,5.7,2.1,2
115,5.7,2.8,4.1,1.3,1
116,4.6,3.4,1.4,0.3,0
