,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,5.1,3.5,1.4,0.2,setosa
1,4.9,3.0,1.4,0.2,setosa
2,4.7,3.2,1.3,0.2,setosa
3,4.6,3.1,1.5,0.2,setosa
4,5.0,3.6,1.4,0.2,setosa
5,5.4,3.9,1.7,0.4,setosa
6,4.6,3.4,1.4,0.3,setosa
7,5.0,3.4,1.5,0.2,setosa
8,4.4,2.9,1.4,0.2,setosa
9,4.9,3.1,1.5,0.1,setosa
10,5.4,3.7,1.5,0.2,setosa
11,4.8,3.4,1.6,0.2,setosa
12,4.8,3.0,1.4,0.1,setosa
13,4.3,3.0,1.1,0.1,setosa
14,5.8,4.0,1.2,0.2,setosa
15,5.7,4.4,1.5,0.4,setosa
16,5.4,3.9,1.3,0.4,setosa
17,5.1,3.5,1.4,0.3,setosa
18,5.7,3.8,1.7,0.3,setosa
19,5.1,3.8,1.5,0.3,setosa
20,5.4,3.4,1.7,0.2,setosa
21,5.1,3.7,1.5,0.4,setosa
22,4.6,3.6,1.0,0.2,setosa
23,5.1,3.3,1.7,0.5,setosa
24,4.8,3.4,1.9,0.2,setosa
25,5.0,3.0,1.6,0.2,setosa
26,5.0,3.4,1.6,0.4,setosa
27,5.2,3.5,1.5,0.2,setosa
28,5.2,3.4,1.4,0.2,setosa
29,4.7,3.2,1.6,0.2,setosa
30,4.8,3.1,1.6,0.2,setosa
31,5.4,3.4,1.5,0.4,setosa
32,5.2,4.1,1.5,0.1,setosa
33,5.5,4.2,1.4,0.2,setosa
34,5.0,3.2,1.2,0.2,setosa
35,5.5,3.5,1.3,0.2,setosa
36,4.4,3.0,1.3,0.2,setosa
37,5.1,3.4,1.5,0.2,setosa
38,5.0,3.5,1.3,0.3,setosa
39,4.5,2.3,1.3,0.3,setosa
40,4.4,3.2,1.3,0.2,setosa
41,5.0,3.5,1.6,0.6,setosa
42,5.1,3.8,1.9,0.4,setosa
43,4.8,3.0,1.4,0.3,setosa
44,5.1,3.8,1.6,0.2,setosa
45,4.6,3.2,1.4,0.2,setosa
46,5.3,3.7,1.5,0.2,setosa
47,5.0,3.3,1.4,0.2,setosa
48,7.0,3.2,4.7,1.4,versicolor
49,6.4,3.2,4.5,1.5,versicolor
50,6.9,3.1,4.9,1.5,versicolor
51,5.5,2.3,4.0,1.3,versicolor
52,6.5,2.8,4.6,1.5,versicolor
53,5.7,2.8,4.5,1.3,versicolor
54,6.3,3.3,4.7,1.6,versicolor
55,4.9,2.4,3.3,1.0,versicolor
56,6.6,2.9,4.6,1.3,versicolor
57,5.2,2.7,3.9,1.4,versicolor
58,5.0,2.0,3.5,1.0,versicolor
59,5.9,3.0,4.2,1.5,versicolor
60,6.0,2.2,4.0,1.0,versicolor
61,6.1,2.9,4.7,1.4,versicolor
62,5.6,2.9,3.6,1.3,versicolor
63,6.7,3.1,4.4,1.4,versicolor
